country,Mid_range_meal_pp,One_way_local_transport_ticket,Apartment,temperature_celsius,wind_kph,humidity,uv_index,condition_text,condition_category,HRS_of_light,Disaster_Count,Median_Severity,Unique_Days_Under_Threat
United Arab Emirates,22.57,1.98,2218.8,32.36657534246575,17.586575342465753,44.33698630136986,7.102465753424657,sunny,Clear,0.57,1.0,0.25,1.0
United Kingdom,31.36,3.45,986.89,12.934246575342463,14.293698630136983,73.6054794520548,2.415890410958904,partly cloudy,Partly Cloudy,0.69,0.0,0.0,0.0
Uruguay,23.9,1.24,414.82,14.952602739726029,15.454794520547946,85.78630136986301,1.8104109589041093,sunny,Clear,0.41,3.0,0.5,314.0
Uzbekistan,11.24,0.18,205.28,21.792328767123287,10.426027397260274,34.42739726027397,4.491780821917808,sunny,Clear,0.51,1.0,0.25,2.0
Vanuatu,26.58,1.23,1071.55,24.28054794520548,15.044383561643835,89.69041095890411,0.4027397260273972,partly cloudy,Partly Cloudy,0.46,3.0,1.0,7.0
Vatican City,15.58,1.04,882.89,20.41123287671233,11.786301369863011,61.23287671232877,4.106027397260274,sunny,Clear,0.46,0.0,0.0,0.0
Venezuela,16.53,0.63,183.46,23.28876712328767,5.490684931506849,80.5095890410959,2.0273972602739727,clear,Clear,0.51,0.0,0.0,0.0
Vietnam,9.7,0.29,303.5,27.410958904109588,8.346027397260274,76.76164383561644,1.6263013698630138,patchy rain nearby,Rain,0.56,0.0,0.0,0.0
Yemen,15.34,0.6,162.36,23.26493150684932,12.878356164383565,23.742465753424657,8.975068493150685,sunny,Clear,0.55,4.0,0.25,10.0
Zambia,9.18,1.45,262.01,26.335890410958903,12.570410958904109,41.16164383561644,9.33945205479452,sunny,Clear,0.48,6.0,0.625,60.0
Zimbabwe,19.0,0.55,222.31,25.33068493150685,10.72931506849315,35.66027397260274,9.745753424657536,sunny,Clear,0.46,2.0,0.25,139.0
